run_id,firm_id,rank,company,relative_timepoint,target_year,snapshot_status,pages_attempted,pages_fetch_success,pages_fetch_failed,pages_extraction_usable,pages_branding_eligible,pages_governance_metadata,pages_excluded_legal_technical,pages_duplicate,pages_excluded,avg_text_chars,flags
508f1903-71e7-4aab-aba6-000fed4d8b7d,8,8,DM-DROGERIE MARKT GMBH + CO. KG,pre_event,2017,selected,25,23,2,23,21,0,1,1,2,,"[""duplicate_content_flag"", ""likely_navigation_only""]"
508f1903-71e7-4aab-aba6-000fed4d8b7d,8,8,DM-DROGERIE MARKT GMBH + CO. KG,event,2019,selected,25,22,3,21,20,0,1,1,4,,"[""duplicate_content_flag"", ""likely_navigation_only""]"
508f1903-71e7-4aab-aba6-000fed4d8b7d,8,8,DM-DROGERIE MARKT GMBH + CO. KG,post_event,2021,selected,1,1,0,0,0,0,0,0,1,0.0,"[""likely_navigation_only""]"
508f1903-71e7-4aab-aba6-000fed4d8b7d,8,8,DM-DROGERIE MARKT GMBH + CO. KG,post_post_event,2023,selected,1,1,0,0,0,0,0,0,1,0.0,"[""likely_navigation_only""]"
508f1903-71e7-4aab-aba6-000fed4d8b7d,9,9,TRIGEMA W. GRUPP KG,pre_pre_event,2020,selected,25,22,3,22,22,0,0,0,3,,"[""likely_navigation_only""]"
508f1903-71e7-4aab-aba6-000fed4d8b7d,9,9,TRIGEMA W. GRUPP KG,pre_event,2022,selected,25,18,7,18,18,0,3,2,7,,"[""duplicate_content_flag"", ""likely_navigation_only""]"
508f1903-71e7-4aab-aba6-000fed4d8b7d,9,9,TRIGEMA W. GRUPP KG,event,2024,selected,25,25,0,25,25,0,0,0,0,7430.5,
508f1903-71e7-4aab-aba6-000fed4d8b7d,9,9,TRIGEMA W. GRUPP KG,post_event,2026,selected,25,21,4,21,21,0,0,0,4,,"[""likely_navigation_only""]"
508f1903-71e7-4aab-aba6-000fed4d8b7d,9,9,TRIGEMA W. GRUPP KG,post_post_event,2028,future_unavailable,1,1,0,0,0,0,0,1,1,,"[""duplicate_content_flag"", ""likely_navigation_only"", ""soft_404_flag""]"
508f1903-71e7-4aab-aba6-000fed4d8b7d,10,10,B. BRAUN SE,pre_pre_event,2015,selected,25,24,1,24,13,0,8,9,1,,"[""duplicate_content_flag"", ""likely_navigation_only""]"
508f1903-71e7-4aab-aba6-000fed4d8b7d,10,10,B. BRAUN SE,pre_event,2017,selected,25,20,5,20,14,0,4,6,5,,"[""duplicate_content_flag"", ""likely_navigation_only""]"
508f1903-71e7-4aab-aba6-000fed4d8b7d,10,10,B. BRAUN SE,event,2019,beyond_tolerance,1,1,0,0,0,0,0,1,1,,"[""duplicate_content_flag"", ""likely_navigation_only"", ""soft_404_flag""]"
508f1903-71e7-4aab-aba6-000fed4d8b7d,10,10,B. BRAUN SE,post_event,2021,beyond_tolerance,1,1,0,0,0,0,0,1,1,,"[""duplicate_content_flag"", ""likely_navigation_only"", ""soft_404_flag""]"
508f1903-71e7-4aab-aba6-000fed4d8b7d,10,10,B. BRAUN SE,post_post_event,2023,beyond_tolerance,1,1,0,0,0,0,0,1,1,,"[""duplicate_content_flag"", ""likely_navigation_only"", ""soft_404_flag""]"
508f1903-71e7-4aab-aba6-000fed4d8b7d,11,11,HARTING TECHNOLOGY GROUP,pre_pre_event,2011,beyond_tolerance,1,1,0,0,0,0,0,1,1,,"[""duplicate_content_flag"", ""likely_navigation_only"", ""soft_404_flag""]"
508f1903-71e7-4aab-aba6-000fed4d8b7d,11,11,HARTING TECHNOLOGY GROUP,pre_event,2013,beyond_tolerance,1,1,0,0,0,0,0,1,1,,"[""duplicate_content_flag"", ""likely_navigation_only"", ""soft_404_flag""]"
508f1903-71e7-4aab-aba6-000fed4d8b7d,11,11,HARTING TECHNOLOGY GROUP,event,2015,beyond_tolerance,1,1,0,0,0,0,0,1,1,,"[""duplicate_content_flag"", ""likely_navigation_only"", ""soft_404_flag""]"
508f1903-71e7-4aab-aba6-000fed4d8b7d,11,11,HARTING TECHNOLOGY GROUP,post_event,2017,selected,1,1,0,1,0,0,0,0,0,178.0,"[""likely_navigation_only""]"
508f1903-71e7-4aab-aba6-000fed4d8b7d,11,11,HARTING TECHNOLOGY GROUP,post_post_event,2019,beyond_tolerance,1,1,0,0,0,0,0,1,1,,"[""duplicate_content_flag"", ""likely_navigation_only"", ""soft_404_flag""]"
508f1903-71e7-4aab-aba6-000fed4d8b7d,12,12,DIRK ROSSMANN GMBH,pre_pre_event,2017,beyond_tolerance,1,1,0,0,0,0,0,1,1,,"[""duplicate_content_flag"", ""likely_navigation_only"", ""soft_404_flag""]"
508f1903-71e7-4aab-aba6-000fed4d8b7d,12,12,DIRK ROSSMANN GMBH,pre_event,2019,selected,25,19,6,19,15,0,2,2,6,,"[""duplicate_content_flag"", ""likely_navigation_only""]"
508f1903-71e7-4aab-aba6-000fed4d8b7d,12,12,DIRK ROSSMANN GMBH,event,2021,beyond_tolerance,1,1,0,0,0,0,0,1,1,,"[""duplicate_content_flag"", ""likely_navigation_only"", ""soft_404_flag""]"
508f1903-71e7-4aab-aba6-000fed4d8b7d,12,12,DIRK ROSSMANN GMBH,post_event,2023,beyond_tolerance,1,1,0,0,0,0,0,1,1,,"[""duplicate_content_flag"", ""likely_navigation_only"", ""soft_404_flag""]"
508f1903-71e7-4aab-aba6-000fed4d8b7d,12,12,DIRK ROSSMANN GMBH,post_post_event,2025,beyond_tolerance,1,1,0,0,0,0,0,1,1,,"[""duplicate_content_flag"", ""likely_navigation_only"", ""soft_404_flag""]"
508f1903-71e7-4aab-aba6-000fed4d8b7d,13,13,HIPP HOLDING / HIPP GMBH & CO. VERTRIEB KG,pre_pre_event,2017,selected,25,12,13,12,10,1,10,9,13,,"[""duplicate_content_flag"", ""likely_navigation_only""]"
508f1903-71e7-4aab-aba6-000fed4d8b7d,13,13,HIPP HOLDING / HIPP GMBH & CO. VERTRIEB KG,pre_event,2019,selected,25,12,13,12,11,1,9,8,13,,"[""duplicate_content_flag"", ""likely_navigation_only""]"
508f1903-71e7-4aab-aba6-000fed4d8b7d,13,13,HIPP HOLDING / HIPP GMBH & CO. VERTRIEB KG,event,2021,selected,25,20,5,20,19,0,0,1,5,,"[""duplicate_content_flag"", ""likely_navigation_only""]"
508f1903-71e7-4aab-aba6-000fed4d8b7d,13,13,HIPP HOLDING / HIPP GMBH & CO. VERTRIEB KG,post_event,2023,selected,25,22,3,22,19,1,0,2,3,,"[""duplicate_content_flag"", ""likely_navigation_only""]"
508f1903-71e7-4aab-aba6-000fed4d8b7d,13,13,HIPP HOLDING / HIPP GMBH & CO. VERTRIEB KG,post_post_event,2025,selected,25,18,7,18,17,1,1,0,7,,"[""likely_navigation_only""]"
508f1903-71e7-4aab-aba6-000fed4d8b7d,14,14,CLAAS KGAA MBH,pre_pre_event,2015,beyond_tolerance,1,1,0,0,0,0,0,1,1,,"[""duplicate_content_flag"", ""likely_navigation_only"", ""soft_404_flag""]"
508f1903-71e7-4aab-aba6-000fed4d8b7d,14,14,CLAAS KGAA MBH,pre_event,2017,beyond_tolerance,1,1,0,0,0,0,0,1,1,,"[""duplicate_content_flag"", ""likely_navigation_only"", ""soft_404_flag""]"
508f1903-71e7-4aab-aba6-000fed4d8b7d,14,14,CLAAS KGAA MBH,event,2019,beyond_tolerance,1,1,0,0,0,0,0,1,1,,"[""duplicate_content_flag"", ""likely_navigation_only"", ""soft_404_flag""]"
508f1903-71e7-4aab-aba6-000fed4d8b7d,14,14,CLAAS KGAA MBH,post_event,2021,beyond_tolerance,1,1,0,0,0,0,0,1,1,,"[""duplicate_content_flag"", ""likely_navigation_only"", ""soft_404_flag""]"
508f1903-71e7-4aab-aba6-000fed4d8b7d,14,14,CLAAS KGAA MBH,post_post_event,2023,beyond_tolerance,1,1,0,0,0,0,0,1,1,,"[""duplicate_content_flag"", ""likely_navigation_only"", ""soft_404_flag""]"
508f1903-71e7-4aab-aba6-000fed4d8b7d,15,15,FABER-CASTELL AG,pre_pre_event,2013,selected,25,21,4,20,14,0,3,5,5,,"[""duplicate_content_flag"", ""likely_navigation_only""]"
508f1903-71e7-4aab-aba6-000fed4d8b7d,15,15,FABER-CASTELL AG,pre_event,2015,selected,25,20,5,20,20,0,2,1,5,,"[""duplicate_content_flag"", ""likely_navigation_only""]"
508f1903-71e7-4aab-aba6-000fed4d8b7d,15,15,FABER-CASTELL AG,event,2017,selected,25,22,3,22,20,0,0,2,3,,"[""duplicate_content_flag"", ""likely_navigation_only""]"
508f1903-71e7-4aab-aba6-000fed4d8b7d,15,15,FABER-CASTELL AG,post_event,2019,selected,25,21,4,21,21,0,0,0,4,,"[""likely_navigation_only""]"
508f1903-71e7-4aab-aba6-000fed4d8b7d,15,15,FABER-CASTELL AG,post_post_event,2021,selected,25,24,1,24,24,0,0,0,1,,"[""likely_navigation_only""]"
508f1903-71e7-4aab-aba6-000fed4d8b7d,16,16,HENKEL AG & CO. KGAA,pre_pre_event,2016,selected,25,24,1,24,18,2,0,4,1,,"[""duplicate_content_flag"", ""likely_navigation_only""]"
508f1903-71e7-4aab-aba6-000fed4d8b7d,16,16,HENKEL AG & CO. KGAA,pre_event,2018,selected,25,23,2,22,19,3,0,0,3,,"[""likely_navigation_only"", ""soft_404_flag""]"
508f1903-71e7-4aab-aba6-000fed4d8b7d,16,16,HENKEL AG & CO. KGAA,event,2020,selected,25,23,2,22,21,1,0,0,3,,"[""likely_navigation_only""]"
508f1903-71e7-4aab-aba6-000fed4d8b7d,16,16,HENKEL AG & CO. KGAA,post_event,2022,selected,25,22,3,22,20,1,0,1,3,,"[""duplicate_content_flag"", ""likely_navigation_only""]"
508f1903-71e7-4aab-aba6-000fed4d8b7d,16,16,HENKEL AG & CO. KGAA,post_post_event,2024,selected,1,0,1,0,0,0,0,0,1,,"[""likely_navigation_only""]"
508f1903-71e7-4aab-aba6-000fed4d8b7d,17,17,MERCK KGAA,pre_pre_event,2017,beyond_tolerance,1,1,0,0,0,0,0,1,1,,"[""duplicate_content_flag"", ""likely_navigation_only"", ""soft_404_flag""]"
508f1903-71e7-4aab-aba6-000fed4d8b7d,17,17,MERCK KGAA,pre_event,2019,beyond_tolerance,1,1,0,0,0,0,0,1,1,,"[""duplicate_content_flag"", ""likely_navigation_only"", ""soft_404_flag""]"
508f1903-71e7-4aab-aba6-000fed4d8b7d,17,17,MERCK KGAA,event,2021,beyond_tolerance,1,1,0,0,0,0,0,1,1,,"[""duplicate_content_flag"", ""likely_navigation_only"", ""soft_404_flag""]"
508f1903-71e7-4aab-aba6-000fed4d8b7d,17,17,MERCK KGAA,post_event,2023,beyond_tolerance,1,1,0,0,0,0,0,1,1,,"[""duplicate_content_flag"", ""likely_navigation_only"", ""soft_404_flag""]"
508f1903-71e7-4aab-aba6-000fed4d8b7d,17,17,MERCK KGAA,post_post_event,2025,beyond_tolerance,1,1,0,0,0,0,0,1,1,,"[""duplicate_content_flag"", ""likely_navigation_only"", ""soft_404_flag""]"
508f1903-71e7-4aab-aba6-000fed4d8b7d,18,18,SCHAEFFLER AG,pre_pre_event,2010,beyond_tolerance,1,1,0,0,0,0,0,1,1,,"[""duplicate_content_flag"", ""likely_navigation_only"", ""soft_404_flag""]"
508f1903-71e7-4aab-aba6-000fed4d8b7d,18,18,SCHAEFFLER AG,pre_event,2012,beyond_tolerance,1,1,0,0,0,0,0,1,1,,"[""duplicate_content_flag"", ""likely_navigation_only"", ""soft_404_flag""]"
508f1903-71e7-4aab-aba6-000fed4d8b7d,18,18,SCHAEFFLER AG,event,2014,beyond_tolerance,1,1,0,0,0,0,0,1,1,,"[""duplicate_content_flag"", ""likely_navigation_only"", ""soft_404_flag""]"
508f1903-71e7-4aab-aba6-000fed4d8b7d,18,18,SCHAEFFLER AG,post_event,2016,beyond_tolerance,1,1,0,0,0,0,0,1,1,,"[""duplicate_content_flag"", ""likely_navigation_only"", ""soft_404_flag""]"
508f1903-71e7-4aab-aba6-000fed4d8b7d,18,18,SCHAEFFLER AG,post_post_event,2018,beyond_tolerance,1,1,0,0,0,0,0,1,1,,"[""duplicate_content_flag"", ""likely_navigation_only"", ""soft_404_flag""]"
508f1903-71e7-4aab-aba6-000fed4d8b7d,19,19,HERAEUS GROUP,pre_pre_event,2009,selected,25,19,6,18,16,1,6,2,7,,"[""duplicate_content_flag"", ""likely_navigation_only"", ""soft_404_flag""]"
508f1903-71e7-4aab-aba6-000fed4d8b7d,19,19,HERAEUS GROUP,pre_event,2011,beyond_tolerance,1,1,0,0,0,0,0,1,1,,"[""duplicate_content_flag"", ""likely_navigation_only"", ""soft_404_flag""]"
508f1903-71e7-4aab-aba6-000fed4d8b7d,19,19,HERAEUS GROUP,event,2013,beyond_tolerance,1,1,0,0,0,0,0,1,1,,"[""duplicate_content_flag"", ""likely_navigation_only"", ""soft_404_flag""]"
508f1903-71e7-4aab-aba6-000fed4d8b7d,19,19,HERAEUS GROUP,post_event,2015,beyond_tolerance,1,1,0,0,0,0,0,1,1,,"[""duplicate_content_flag"", ""likely_navigation_only"", ""soft_404_flag""]"
