run_id,firm_id,company,relative_timepoint,target_date,selected_capture_date,snapshot_status,observation_recommendation,analysis_eligible,n_pages_total,n_pages_fetch_success,n_pages_extraction_usable,n_branding_pages_eligible,n_branding_pages_excluded,n_unique_branding_pages,n_impressum_pages,n_legal_technical_pages,n_duplicate_pages,n_duplicate_pages_within_observation,duplicate_tokens_removed,duplicate_words_removed,deduplication_applied,total_word_count_all_usable_pages,total_token_count_all_usable_pages,branding_word_count,branding_token_count,governance_metadata_word_count,detected_primary_language,language_distribution_json,n_pages_language_unknown,n_pages_de,n_pages_en,n_pages_other,n_pages_unknown,tokens_de,tokens_en,tokens_other,tokens_unknown,primary_language_by_tokens,german_text_analysis_eligible,german_text_analysis_exclusion_reason,text_analysis_eligible,text_analysis_exclusion_reason,text_analysis_quality_band
508f1903-71e7-4aab-aba6-000fed4d8b7d,6,FIELMANN GROUP AG,post_event,2021-07-01,2021-06-27,selected,include,True,25,23,22,16,6,16,0,0,6,6,1045,1045,True,5830,5830,4785,4785,0,de,"{""de"": 4785}",0,16,0,0,0,4785,0,0,0,de,True,,True,,high
508f1903-71e7-4aab-aba6-000fed4d8b7d,6,FIELMANN GROUP AG,post_post_event,2023-07-01,2023-07-05,selected,include,True,25,17,14,13,1,13,0,7,6,6,276,276,True,6987,6987,6972,6972,0,de,"{""de"": 6972}",0,13,0,0,0,6972,0,0,0,de,True,,True,,high
508f1903-71e7-4aab-aba6-000fed4d8b7d,7,SIXT SE,pre_pre_event,2017-07-01,2017-07-01,selected,include,True,25,24,23,17,6,17,0,0,5,5,4990,4990,True,17212,17212,12202,12202,0,en,"{""en"": 10045, ""de"": 2157}",0,1,16,0,0,2157,10045,0,0,en,True,,True,,high
508f1903-71e7-4aab-aba6-000fed4d8b7d,7,SIXT SE,pre_event,2019-07-01,2019-07-01,selected,include,True,25,24,24,18,6,18,0,1,5,5,5001,5001,True,13061,13061,7747,7747,0,en,"{""en"": 6302, ""de"": 1445}",0,2,16,0,0,1445,6302,0,0,en,True,,True,,high
508f1903-71e7-4aab-aba6-000fed4d8b7d,7,SIXT SE,event,2021-07-01,2021-07-01,selected,include,True,25,21,21,18,3,18,0,1,2,2,2898,2898,True,13113,13113,9888,9888,0,en,"{""en"": 8285, ""de"": 1603}",0,2,16,0,0,1603,8285,0,0,en,True,,True,,high
508f1903-71e7-4aab-aba6-000fed4d8b7d,7,SIXT SE,post_event,2023-07-01,2023-07-01,selected,include,True,25,18,18,16,2,16,0,0,2,2,80,80,True,10007,10007,9927,9927,0,en,"{""en"": 9700, ""de"": 227}",0,1,15,0,0,227,9700,0,0,en,True,,True,,high
508f1903-71e7-4aab-aba6-000fed4d8b7d,7,SIXT SE,post_post_event,2025-07-01,2025-07-02,selected,include,True,25,24,24,19,5,19,0,0,3,3,2644,2644,True,21513,21513,14957,14957,3928,en,"{""en"": 13066, ""de"": 1891}",0,2,17,0,0,1891,13066,0,0,en,True,,True,,high
508f1903-71e7-4aab-aba6-000fed4d8b7d,8,DM-DROGERIE MARKT GMBH + CO. KG,pre_pre_event,2015-07-01,2015-08-10,selected,include,True,25,18,18,18,0,18,0,1,0,0,0,0,True,5273,5273,5273,5273,0,de,"{""de"": 5273}",0,18,0,0,0,5273,0,0,0,de,True,,True,,high
508f1903-71e7-4aab-aba6-000fed4d8b7d,8,DM-DROGERIE MARKT GMBH + CO. KG,pre_event,2017-07-01,2017-07-01,selected,include,True,25,23,23,21,2,21,0,1,1,1,558,558,True,4702,4702,4098,4098,0,de,"{""de"": 4098}",0,21,0,0,0,4098,0,0,0,de,True,,True,,high
508f1903-71e7-4aab-aba6-000fed4d8b7d,8,DM-DROGERIE MARKT GMBH + CO. KG,event,2019-07-01,2019-07-02,selected,include,True,25,22,21,20,1,20,0,1,1,1,34,34,True,4704,4704,4670,4670,0,de,"{""de"": 4670}",0,20,0,0,0,4670,0,0,0,de,True,,True,,high
